Repositório,Estrelas,Pull Requests,Estado PR,Número PR,Data de Criação PR,Data de Fechamento PR,Data de Merge PR,Intervalo Criação e Última Atividade,Status Revisão,Revisões,Arquivos Alterados,Linhas Adicionadas,Linhas Excluídas,Caracteres Corpo PR,Participantes PR,Comentários PR
justjavac/free-programming-books-zh_CN,109080,432,MERGED,708,2019-06-15 05:10:20+00:00,2020-02-04 12:26:20+00:00,2020-02-04 12:26:20+00:00,5623.27,0,0,1,1,0,24,2,0
justjavac/free-programming-books-zh_CN,109080,432,MERGED,706,2019-06-06 14:58:35+00:00,2020-02-04 12:25:24+00:00,2020-02-04 12:25:24+00:00,5829.45,0,0,1,1,1,11,3,2
justjavac/free-programming-books-zh_CN,109080,432,MERGED,705,2019-06-01 13:16:45+00:00,2019-06-06 07:34:06+00:00,2019-06-06 07:34:06+00:00,114.29,0,0,1,8,0,31,2,0
justjavac/free-programming-books-zh_CN,109080,432,MERGED,704,2019-05-30 04:29:39+00:00,2019-06-06 07:33:43+00:00,2019-06-06 07:33:43+00:00,171.07,0,0,1,2,2,0,2,0
justjavac/free-programming-books-zh_CN,109080,432,MERGED,702,2019-05-27 06:30:35+00:00,2019-06-06 07:33:19+00:00,2019-06-06 07:33:19+00:00,241.05,0,0,1,1,1,0,2,0
justjavac/free-programming-books-zh_CN,109080,432,MERGED,692,2019-04-18 06:31:23+00:00,2019-06-06 07:36:08+00:00,2019-06-06 07:36:08+00:00,1177.08,0,0,1,1,0,0,2,0
justjavac/free-programming-books-zh_CN,109080,432,MERGED,690,2019-03-28 10:44:56+00:00,2019-06-06 07:35:02+00:00,2019-06-06 07:35:02+00:00,1676.84,0,0,1,2,0,0,2,0
justjavac/free-programming-books-zh_CN,109080,432,MERGED,687,2019-03-25 11:28:51+00:00,2019-06-06 07:34:44+00:00,2019-06-06 07:34:44+00:00,1748.1,0,0,1,1,0,118,2,0
justjavac/free-programming-books-zh_CN,109080,432,CLOSED,685,2019-03-17 05:10:21+00:00,2020-02-04 12:24:50+00:00,0,7783.24,0,0,1,2,0,0,2,1
justjavac/free-programming-books-zh_CN,109080,432,CLOSED,684,2019-03-17 04:49:07+00:00,2019-03-17 04:51:24+00:00,0,0.04,0,0,1,2,0,0,1,0
justjavac/free-programming-books-zh_CN,109080,432,CLOSED,683,2019-03-06 03:11:16+00:00,2019-04-29 00:18:28+00:00,0,1293.12,0,0,1,1,0,0,1,0
justjavac/free-programming-books-zh_CN,109080,432,MERGED,682,2019-03-05 13:39:26+00:00,2019-06-06 07:37:09+00:00,2019-06-06 07:37:09+00:00,2225.96,0,0,1,1,0,43,2,0
justjavac/free-programming-books-zh_CN,109080,432,CLOSED,676,2018-11-22 03:40:14+00:00,2020-02-04 12:25:12+00:00,0,10544.75,0,1,1,3,0,17,3,1
justjavac/free-programming-books-zh_CN,109080,432,MERGED,672,2018-11-06 07:09:58+00:00,2019-06-06 07:36:54+00:00,2019-06-06 07:36:54+00:00,5088.45,0,0,1,1,0,0,2,0
justjavac/free-programming-books-zh_CN,109080,432,CLOSED,670,2018-11-02 23:22:11+00:00,2020-02-04 12:22:46+00:00,0,11005.01,0,0,1,7,0,30,2,0
justjavac/free-programming-books-zh_CN,109080,432,CLOSED,669,2018-10-19 12:36:13+00:00,2018-11-05 09:22:56+00:00,0,404.78,0,1,1,4,0,0,2,0
justjavac/free-programming-books-zh_CN,109080,432,MERGED,666,2018-09-25 04:07:26+00:00,2018-10-30 09:28:37+00:00,2018-10-30 09:28:37+00:00,845.35,0,0,1,5,5,75,2,0
justjavac/free-programming-books-zh_CN,109080,432,CLOSED,664,2018-09-08 09:24:29+00:00,2018-09-08 09:25:05+00:00,0,0.01,0,0,0,0,0,6,1,0
justjavac/free-programming-books-zh_CN,109080,432,CLOSED,661,2018-08-20 06:24:17+00:00,2020-02-04 12:22:40+00:00,0,12797.97,0,0,1,1,0,34,2,0
justjavac/free-programming-books-zh_CN,109080,432,MERGED,657,2018-07-13 10:50:24+00:00,2018-11-05 07:12:59+00:00,2018-11-05 07:12:59+00:00,2756.38,0,0,1,2,0,0,2,0
justjavac/free-programming-books-zh_CN,109080,432,CLOSED,656,2018-07-13 08:36:05+00:00,2020-02-04 12:22:36+00:00,0,13707.78,0,1,0,0,0,13,3,1
justjavac/free-programming-books-zh_CN,109080,432,MERGED,649,2018-06-06 16:52:48+00:00,2018-11-05 09:18:30+00:00,2018-11-05 09:18:30+00:00,3640.43,0,0,1,3,1,54,2,0
justjavac/free-programming-books-zh_CN,109080,432,MERGED,648,2018-06-05 22:12:39+00:00,2018-11-05 09:18:57+00:00,2018-11-05 09:18:57+00:00,3659.11,0,0,1,1,0,67,2,0
justjavac/free-programming-books-zh_CN,109080,432,MERGED,645,2018-05-09 13:04:06+00:00,2018-11-05 07:13:21+00:00,2018-11-05 07:13:21+00:00,4314.15,0,0,1,1,3,30,2,0
justjavac/free-programming-books-zh_CN,109080,432,CLOSED,643,2018-05-07 15:08:13+00:00,2020-02-04 12:22:26+00:00,0,15309.24,0,0,1,3,0,0,2,0
justjavac/free-programming-books-zh_CN,109080,432,MERGED,642,2018-05-02 01:57:29+00:00,2018-11-05 09:19:32+00:00,2018-11-05 09:19:32+00:00,4495.37,0,0,1,1,1,38,2,0
justjavac/free-programming-books-zh_CN,109080,432,CLOSED,641,2018-05-01 03:17:46+00:00,2020-02-04 12:22:06+00:00,0,15465.07,0,0,1,1,1,0,2,0
justjavac/free-programming-books-zh_CN,109080,432,MERGED,639,2018-04-23 03:18:02+00:00,2018-11-05 09:20:57+00:00,2018-11-05 09:20:57+00:00,4710.05,0,1,1,1,0,36,3,0
justjavac/free-programming-books-zh_CN,109080,432,CLOSED,637,2018-04-12 13:03:13+00:00,2018-11-05 07:13:41+00:00,0,4962.17,0,1,1,1,0,52,3,1
justjavac/free-programming-books-zh_CN,109080,432,CLOSED,635,2018-03-30 07:56:56+00:00,2018-12-04 09:41:52+00:00,0,5977.75,0,0,1,5,3,132,1,1
justjavac/free-programming-books-zh_CN,109080,432,CLOSED,619,2017-12-25 11:33:47+00:00,2020-04-11 13:36:45+00:00,0,20114.05,0,1,1,2,0,17,5,3
justjavac/free-programming-books-zh_CN,109080,432,CLOSED,613,2017-12-07 11:10:28+00:00,2020-02-04 12:22:02+00:00,0,18937.19,0,0,1,1,0,18,2,0
justjavac/free-programming-books-zh_CN,109080,432,MERGED,611,2017-12-04 07:17:37+00:00,2018-01-24 07:22:47+00:00,2018-01-24 07:22:47+00:00,1224.09,0,0,1,1,0,15,3,1
justjavac/free-programming-books-zh_CN,109080,432,CLOSED,610,2017-12-03 04:22:04+00:00,2020-02-04 12:21:58+00:00,0,19040.0,0,1,1,1,1,0,3,0
justjavac/free-programming-books-zh_CN,109080,432,CLOSED,609,2017-11-30 00:57:58+00:00,2020-02-04 12:21:20+00:00,0,19115.39,0,0,1,1,1,64,2,0
justjavac/free-programming-books-zh_CN,109080,432,CLOSED,606,2017-11-16 03:33:38+00:00,2018-03-30 07:43:13+00:00,0,3220.16,0,0,1,730,726,105,1,1
justjavac/free-programming-books-zh_CN,109080,432,MERGED,604,2017-11-10 09:42:22+00:00,2017-11-10 09:44:53+00:00,2017-11-10 09:44:53+00:00,0.04,0,0,1,1,1,17,2,0
justjavac/free-programming-books-zh_CN,109080,432,CLOSED,603,2017-11-10 09:13:25+00:00,2017-11-10 09:45:06+00:00,0,0.53,0,0,1,723,723,19,2,0
justjavac/free-programming-books-zh_CN,109080,432,CLOSED,602,2017-11-06 19:08:56+00:00,2019-03-07 03:37:29+00:00,0,11648.48,0,0,2,15,7,82,1,0
justjavac/free-programming-books-zh_CN,109080,432,CLOSED,601,2017-10-27 09:20:28+00:00,2020-02-04 12:21:17+00:00,0,19923.01,0,0,1,1,0,0,2,0
justjavac/free-programming-books-zh_CN,109080,432,CLOSED,600,2017-10-18 10:28:42+00:00,2020-02-04 12:21:13+00:00,0,20137.88,0,0,1,0,1,0,2,0
justjavac/free-programming-books-zh_CN,109080,432,CLOSED,599,2017-10-16 06:45:00+00:00,2020-02-04 12:21:04+00:00,0,20189.6,0,0,0,0,0,17,2,0
justjavac/free-programming-books-zh_CN,109080,432,CLOSED,598,2017-10-16 01:05:38+00:00,2020-02-04 12:21:00+00:00,0,20195.26,0,0,0,0,0,5,2,1
justjavac/free-programming-books-zh_CN,109080,432,CLOSED,596,2017-10-12 12:02:33+00:00,2018-01-06 02:15:17+00:00,0,2054.21,0,0,1,7,0,0,2,0
justjavac/free-programming-books-zh_CN,109080,432,CLOSED,594,2017-10-06 08:10:12+00:00,2020-02-04 12:20:57+00:00,0,20428.18,0,0,1,1,0,0,2,0
justjavac/free-programming-books-zh_CN,109080,432,CLOSED,592,2017-09-11 12:32:13+00:00,2018-04-23 13:37:47+00:00,0,5377.09,0,0,1,2,1,13,1,0
justjavac/free-programming-books-zh_CN,109080,432,CLOSED,589,2017-08-30 07:02:38+00:00,2020-02-04 12:20:54+00:00,0,21317.3,0,0,1,1,1,14,2,0
justjavac/free-programming-books-zh_CN,109080,432,CLOSED,588,2017-08-25 08:40:20+00:00,2020-02-04 12:20:50+00:00,0,21435.67,0,0,1,2,0,0,1,0
justjavac/free-programming-books-zh_CN,109080,432,CLOSED,587,2017-08-25 05:25:27+00:00,2020-02-04 12:20:28+00:00,0,21438.92,0,0,1,0,2,32,3,1
justjavac/free-programming-books-zh_CN,109080,432,CLOSED,585,2017-08-23 15:05:49+00:00,2020-02-04 12:20:24+00:00,0,21477.24,0,0,1,5,4,24,2,0
d3/d3,107618,1161,CLOSED,3834,2024-03-25 10:46:02+00:00,2024-03-25 10:46:38+00:00,0,0.01,0,0,36,5259,2154,0,1,0
d3/d3,107618,1161,MERGED,3816,2024-01-29 10:59:52+00:00,2024-01-29 16:31:44+00:00,2024-01-29 16:31:44+00:00,5.53,APPROVED,1,1,4,4,137,2,0
d3/d3,107618,1161,MERGED,3808,2023-12-14 21:24:21+00:00,2023-12-14 22:17:48+00:00,2023-12-14 22:17:48+00:00,0.89,APPROVED,1,1,0,1,0,3,0
d3/d3,107618,1161,MERGED,3804,2023-12-01 14:29:45+00:00,2024-03-12 21:20:10+00:00,2024-03-12 21:20:10+00:00,2454.84,0,0,5,832,675,73,2,0
d3/d3,107618,1161,MERGED,3803,2023-11-20 15:40:19+00:00,2024-03-12 21:17:11+00:00,2024-03-12 21:17:10+00:00,2717.61,APPROVED,1,1,1,1,31,2,0
d3/d3,107618,1161,MERGED,3801,2023-11-07 22:35:40+00:00,2023-11-07 22:50:47+00:00,2023-11-07 22:50:47+00:00,0.25,APPROVED,1,1,1,2,0,2,0
d3/d3,107618,1161,MERGED,3796,2023-11-03 14:26:07+00:00,2023-11-03 15:11:28+00:00,2023-11-03 15:11:27+00:00,0.76,APPROVED,1,1,1,1,39,2,0
d3/d3,107618,1161,MERGED,3785,2023-10-23 13:37:54+00:00,2023-10-23 16:33:40+00:00,2023-10-23 16:33:40+00:00,2.93,APPROVED,1,1,1,1,100,2,0
d3/d3,107618,1161,MERGED,3782,2023-10-13 17:56:29+00:00,2023-10-15 07:17:56+00:00,2023-10-15 07:17:56+00:00,37.36,APPROVED,4,2,3,3,0,3,0
d3/d3,107618,1161,MERGED,3781,2023-10-12 21:57:34+00:00,2023-10-12 23:19:58+00:00,2023-10-12 23:19:58+00:00,1.37,APPROVED,1,3,4,4,120,2,0
d3/d3,107618,1161,MERGED,3780,2023-10-11 13:28:08+00:00,2023-10-30 14:43:06+00:00,2023-10-30 14:43:06+00:00,457.25,0,0,1,1,1,461,3,1
d3/d3,107618,1161,MERGED,3779,2023-10-11 12:56:06+00:00,2023-10-11 13:04:02+00:00,2023-10-11 13:04:02+00:00,0.13,APPROVED,1,1,1,1,0,2,0
d3/d3,107618,1161,MERGED,3776,2023-10-06 15:44:33+00:00,2023-10-06 16:59:53+00:00,2023-10-06 16:59:53+00:00,1.26,APPROVED,1,3,3,1537,5,2,0
d3/d3,107618,1161,MERGED,3774,2023-10-05 16:52:27+00:00,2023-10-05 19:12:59+00:00,2023-10-05 19:12:59+00:00,2.34,APPROVED,1,1,0,2,0,2,0
d3/d3,107618,1161,MERGED,3773,2023-10-05 16:43:22+00:00,2023-10-05 19:25:29+00:00,2023-10-05 19:25:29+00:00,2.7,CHANGES_REQUESTED,1,1,16,0,101,2,1
d3/d3,107618,1161,CLOSED,3765,2023-09-14 19:35:04+00:00,2023-09-14 19:40:50+00:00,0,0.1,0,0,1,21,0,23,2,1
d3/d3,107618,1161,MERGED,3758,2023-08-23 14:31:06+00:00,2023-08-23 15:46:12+00:00,2023-08-23 15:46:12+00:00,1.25,APPROVED,2,1,2,2,0,2,0
d3/d3,107618,1161,MERGED,3755,2023-08-21 19:34:38+00:00,2023-08-21 21:05:07+00:00,2023-08-21 21:05:07+00:00,1.51,APPROVED,1,2,20,2,12,3,0
d3/d3,107618,1161,CLOSED,3754,2023-08-21 16:26:11+00:00,2023-08-21 17:12:16+00:00,0,0.77,0,0,1,7,1,107,1,0
d3/d3,107618,1161,CLOSED,3752,2023-08-13 13:13:25+00:00,2023-08-21 18:59:05+00:00,0,197.76,0,0,1,2,0,127,3,1
d3/d3,107618,1161,MERGED,3750,2023-08-09 11:50:13+00:00,2023-08-21 18:09:14+00:00,2023-08-21 18:09:14+00:00,294.32,APPROVED,1,1,3,3,110,2,1
d3/d3,107618,1161,MERGED,3747,2023-08-08 13:33:17+00:00,2023-08-08 14:06:07+00:00,2023-08-08 14:06:07+00:00,0.55,0,0,1,1,1,0,2,0
d3/d3,107618,1161,MERGED,3746,2023-07-29 17:06:52+00:00,2023-07-29 17:08:38+00:00,2023-07-29 17:08:38+00:00,0.03,0,0,2,442,439,107,1,0
d3/d3,107618,1161,CLOSED,3745,2023-07-28 20:57:39+00:00,2023-08-21 19:34:50+00:00,0,574.62,0,0,2,8,0,12,2,5
d3/d3,107618,1161,MERGED,3698,2023-07-05 07:13:17+00:00,2023-07-29 16:44:37+00:00,2023-07-29 16:44:37+00:00,585.52,APPROVED,1,18,25,25,27,2,2
d3/d3,107618,1161,MERGED,3695,2023-06-25 10:05:44+00:00,2023-06-25 15:02:26+00:00,2023-06-25 15:02:26+00:00,4.95,APPROVED,1,1,1,1,0,2,0
d3/d3,107618,1161,CLOSED,3694,2023-06-21 13:36:42+00:00,2023-06-21 15:34:00+00:00,0,1.96,0,0,1,1,1,0,2,0
d3/d3,107618,1161,MERGED,3682,2023-06-16 12:53:55+00:00,2023-06-16 12:55:26+00:00,2023-06-16 12:55:26+00:00,0.03,0,0,1,1,1,75,1,0
d3/d3,107618,1161,MERGED,3681,2023-06-15 06:35:21+00:00,2023-06-15 06:58:48+00:00,2023-06-15 06:58:48+00:00,0.39,APPROVED,1,1,1,1,24,2,0
d3/d3,107618,1161,MERGED,3680,2023-06-15 06:34:19+00:00,2023-06-16 20:41:47+00:00,2023-06-16 20:41:47+00:00,38.12,APPROVED,2,2,81,30,118,2,4
d3/d3,107618,1161,CLOSED,3679,2023-06-15 04:54:51+00:00,2023-06-15 06:40:50+00:00,0,1.77,0,1,1,3,3,67,2,1
d3/d3,107618,1161,MERGED,3678,2023-06-14 16:39:09+00:00,2023-06-14 16:43:16+00:00,2023-06-14 16:43:16+00:00,0.07,APPROVED,1,1,1,0,30,2,0
d3/d3,107618,1161,MERGED,3677,2023-06-13 14:10:05+00:00,2023-06-13 16:33:02+00:00,2023-06-13 16:33:02+00:00,2.38,APPROVED,1,1,14,7,0,2,2
d3/d3,107618,1161,MERGED,3676,2023-06-12 15:10:34+00:00,2023-06-12 19:35:50+00:00,2023-06-12 19:35:50+00:00,4.42,APPROVED,3,1,1,1,479,3,0
d3/d3,107618,1161,MERGED,3673,2023-06-12 09:36:38+00:00,2023-06-13 16:57:29+00:00,2023-06-13 16:57:29+00:00,31.35,APPROVED,1,5,155,79,256,2,0
d3/d3,107618,1161,MERGED,3672,2023-06-12 08:12:36+00:00,2023-06-12 13:36:51+00:00,2023-06-12 13:36:51+00:00,5.4,APPROVED,1,2,2,2,14,2,0
d3/d3,107618,1161,MERGED,3671,2023-06-11 20:15:12+00:00,2023-06-11 20:16:52+00:00,2023-06-11 20:16:52+00:00,0.03,0,0,2,49,41,30,2,1
d3/d3,107618,1161,MERGED,3670,2023-06-11 20:04:46+00:00,2023-06-15 18:43:45+00:00,2023-06-15 18:43:45+00:00,94.65,APPROVED,1,2,83,6,186,2,3
d3/d3,107618,1161,MERGED,3669,2023-06-11 20:02:06+00:00,2023-06-15 18:02:34+00:00,2023-06-15 18:02:34+00:00,94.01,APPROVED,1,3,67,24,71,2,1
d3/d3,107618,1161,CLOSED,3668,2023-06-11 07:16:17+00:00,2023-06-11 21:15:02+00:00,0,13.98,0,0,1,1,1,21,2,0
d3/d3,107618,1161,CLOSED,3667,2023-06-09 16:08:28+00:00,2023-06-09 16:56:47+00:00,0,0.81,0,0,5,18,16,190,2,1
d3/d3,107618,1161,MERGED,3666,2023-06-09 14:53:36+00:00,2023-06-09 16:08:58+00:00,2023-06-09 16:08:58+00:00,1.26,APPROVED,2,2,4,4,0,2,0
d3/d3,107618,1161,MERGED,3662,2023-06-09 07:15:45+00:00,2023-06-09 14:22:35+00:00,2023-06-09 14:22:35+00:00,7.11,APPROVED,1,10,61,79,0,2,0
d3/d3,107618,1161,MERGED,3661,2023-06-08 19:41:26+00:00,2023-06-08 21:21:39+00:00,2023-06-08 21:21:39+00:00,1.67,0,2,15,19,19,100,2,0
d3/d3,107618,1161,MERGED,3660,2023-06-08 17:29:31+00:00,2023-06-09 02:36:35+00:00,2023-06-09 02:36:35+00:00,9.12,APPROVED,2,46,247,287,0,3,0
d3/d3,107618,1161,MERGED,3659,2023-06-07 23:13:06+00:00,2023-06-08 00:22:04+00:00,2023-06-08 00:22:04+00:00,1.15,APPROVED,5,1,48,0,490,2,0
d3/d3,107618,1161,MERGED,3654,2023-05-17 01:00:36+00:00,2023-06-08 01:30:48+00:00,2023-06-08 01:30:48+00:00,528.5,0,3,139,19342,136,12,4,2
d3/d3,107618,1161,CLOSED,3576,2022-07-09 14:42:14+00:00,2022-07-09 15:33:45+00:00,0,0.86,0,0,1,5,2,260,2,1
d3/d3,107618,1161,CLOSED,3573,2022-05-19 19:36:31+00:00,2022-05-19 19:37:12+00:00,0,0.01,0,0,7,27,5,4,2,0
d3/d3,107618,1161,CLOSED,3563,2022-04-08 11:10:02+00:00,2022-04-08 11:11:15+00:00,0,0.02,0,0,6,391,0,19,1,0
d3/d3,107618,1161,MERGED,3562,2022-03-29 00:16:03+00:00,2022-03-29 00:49:12+00:00,2022-03-29 00:49:12+00:00,0.55,0,0,1,1,1,150,2,1
d3/d3,107618,1161,CLOSED,3548,2021-11-28 12:15:06+00:00,2021-11-28 15:19:24+00:00,0,3.07,0,0,1,2,2,0,2,0
d3/d3,107618,1161,CLOSED,3540,2021-10-10 12:46:41+00:00,2021-10-10 14:57:36+00:00,0,2.18,0,0,1,4,4,75,2,2
d3/d3,107618,1161,CLOSED,3521,2021-07-30 10:08:40+00:00,2021-07-30 11:07:37+00:00,0,0.98,0,0,3,71,45,62,2,1
d3/d3,107618,1161,CLOSED,3511,2021-06-25 13:48:52+00:00,2021-07-04 17:17:33+00:00,0,219.48,0,0,1,10,2,27,2,1
d3/d3,107618,1161,MERGED,3506,2021-06-11 17:48:47+00:00,2021-06-11 17:50:21+00:00,2021-06-11 17:50:19+00:00,0.03,0,0,16,1406,682,82,2,1
d3/d3,107618,1161,MERGED,3495,2021-05-13 15:01:34+00:00,2021-05-13 16:38:42+00:00,2021-05-13 16:38:42+00:00,1.62,0,0,1,1,1,0,2,0
d3/d3,107618,1161,CLOSED,3483,2021-04-03 12:43:32+00:00,2021-04-03 14:15:02+00:00,0,1.52,0,0,1,1,1,0,2,0
d3/d3,107618,1161,CLOSED,3477,2021-03-16 18:15:55+00:00,2021-06-11 17:50:21+00:00,0,2087.57,0,1,5,948,6,418,2,0
d3/d3,107618,1161,MERGED,3476,2021-03-15 22:39:52+00:00,2021-03-15 23:00:22+00:00,2021-03-15 23:00:22+00:00,0.34,0,0,1,1,1,0,2,1
d3/d3,107618,1161,CLOSED,3463,2021-02-07 19:52:05+00:00,2021-02-07 20:10:30+00:00,0,0.31,0,0,1,1,1,0,1,0
d3/d3,107618,1161,CLOSED,3454,2020-12-30 08:24:47+00:00,2021-06-11 17:50:21+00:00,0,3921.43,0,1,3,62,29,88,2,0
d3/d3,107618,1161,CLOSED,3440,2020-08-27 15:03:55+00:00,2020-08-27 15:37:17+00:00,0,0.56,0,0,1,4,4,142,2,1
d3/d3,107618,1161,MERGED,3439,2020-08-23 23:27:20+00:00,2020-08-26 20:38:10+00:00,2020-08-26 20:38:10+00:00,69.18,APPROVED,1,2,4,1,0,2,0
d3/d3,107618,1161,MERGED,3438,2020-07-27 16:45:02+00:00,2020-08-26 21:34:57+00:00,2020-08-26 21:34:57+00:00,724.83,0,3,7,1751,1623,439,3,3
d3/d3,107618,1161,CLOSED,3432,2020-06-04 22:59:03+00:00,2020-06-05 04:39:29+00:00,0,5.67,0,0,1,1,1,0,2,0
d3/d3,107618,1161,CLOSED,3420,2020-03-15 16:23:07+00:00,2020-03-15 16:40:19+00:00,0,0.29,0,0,1,1,1,31,2,0
d3/d3,107618,1161,CLOSED,3419,2020-03-15 15:41:17+00:00,2020-03-15 15:53:39+00:00,0,0.21,0,0,1,1,1,110,2,0
d3/d3,107618,1161,CLOSED,3366,2020-01-28 09:53:37+00:00,2021-06-11 17:50:21+00:00,0,12007.95,0,0,2,15,0,1012,4,6
d3/d3,107618,1161,CLOSED,3363,2020-01-22 08:05:12+00:00,2020-01-22 09:16:17+00:00,0,1.18,0,0,1,32,0,0,2,1
d3/d3,107618,1161,CLOSED,3362,2020-01-22 08:03:53+00:00,2020-01-22 08:04:12+00:00,0,0.01,0,0,1,0,769,0,1,0
d3/d3,107618,1161,CLOSED,3360,2020-01-07 04:17:28+00:00,2020-01-18 20:38:12+00:00,0,280.35,0,0,1,1,1,15,3,2
d3/d3,107618,1161,CLOSED,3349,2019-10-03 21:11:45+00:00,2019-10-03 21:26:36+00:00,0,0.25,0,0,1,1,0,0,2,0
d3/d3,107618,1161,MERGED,3348,2019-09-24 22:45:14+00:00,2019-09-25 05:15:43+00:00,2019-09-25 05:15:43+00:00,6.51,0,2,1,3,3,94,3,0
d3/d3,107618,1161,CLOSED,3343,2019-08-23 13:13:47+00:00,2019-08-30 15:00:16+00:00,0,169.77,0,0,2,0,0,305,3,1
d3/d3,107618,1161,CLOSED,3339,2019-08-12 09:54:24+00:00,2019-08-12 10:14:47+00:00,0,0.34,0,0,1,10,10,0,1,1
d3/d3,107618,1161,CLOSED,3332,2019-04-25 11:17:18+00:00,2019-08-01 15:32:10+00:00,0,2356.25,0,0,2,20,7,439,3,2
d3/d3,107618,1161,CLOSED,3331,2019-04-25 10:57:53+00:00,2019-08-01 15:08:48+00:00,0,2356.18,0,0,1,1,0,0,2,1
d3/d3,107618,1161,CLOSED,3330,2019-02-22 22:59:06+00:00,2019-02-22 23:01:47+00:00,0,0.04,0,0,1,1,0,5,1,0
d3/d3,107618,1161,CLOSED,3328,2019-01-16 20:39:51+00:00,2019-01-19 16:20:53+00:00,0,67.68,0,0,1,1,0,111,4,11
d3/d3,107618,1161,CLOSED,3327,2019-01-08 18:46:39+00:00,2019-01-08 18:49:57+00:00,0,0.06,0,0,1,1,1,0,2,0
d3/d3,107618,1161,CLOSED,3319,2018-12-19 05:57:35+00:00,2019-08-01 15:08:11+00:00,0,5409.18,0,1,1,5,1,0,5,4
d3/d3,107618,1161,CLOSED,3318,2018-12-05 10:57:47+00:00,2019-08-01 15:03:11+00:00,0,5740.09,0,1,1,7,1,106,3,1
d3/d3,107618,1161,CLOSED,3317,2018-11-29 00:12:07+00:00,2019-08-01 15:02:27+00:00,0,5894.84,0,2,6,160,4,3383,4,3
d3/d3,107618,1161,CLOSED,3316,2018-11-23 12:43:25+00:00,2018-11-23 17:22:53+00:00,0,4.66,0,0,1,1,1,0,3,4
d3/d3,107618,1161,CLOSED,3304,2018-11-01 11:03:59+00:00,2018-11-01 11:04:24+00:00,0,0.01,0,0,1,0,57,4,1,0
d3/d3,107618,1161,CLOSED,3302,2018-10-29 08:40:27+00:00,2018-10-29 15:14:52+00:00,0,6.57,0,0,7,23,16,3,4,1
d3/d3,107618,1161,MERGED,3301,2018-08-29 16:29:16+00:00,2018-08-29 20:05:38+00:00,2018-08-29 20:05:38+00:00,3.61,0,0,1,1,1,0,2,0
d3/d3,107618,1161,CLOSED,3300,2018-08-13 01:16:23+00:00,2018-08-13 01:17:13+00:00,0,0.01,0,0,1,7,7,2,1,0
d3/d3,107618,1161,CLOSED,3299,2018-06-21 16:53:19+00:00,2018-06-21 19:47:45+00:00,0,2.91,0,0,1,1,1,0,3,1
d3/d3,107618,1161,MERGED,3298,2018-05-13 11:44:04+00:00,2019-01-19 16:22:11+00:00,2019-01-19 16:22:11+00:00,6028.64,0,2,1,11,8,140,4,0
d3/d3,107618,1161,CLOSED,3297,2018-05-11 11:59:43+00:00,2019-01-19 16:26:50+00:00,0,6076.45,0,3,4,4,6,210,6,2
d3/d3,107618,1161,MERGED,3296,2018-05-03 08:42:46+00:00,2018-05-03 13:18:18+00:00,2018-05-03 13:18:18+00:00,4.59,0,0,1,11,10,26,2,0
d3/d3,107618,1161,CLOSED,3288,2018-03-28 17:05:12+00:00,2018-03-28 22:07:37+00:00,0,5.04,0,0,1,1,1,110,2,0
d3/d3,107618,1161,CLOSED,3283,2018-03-23 00:37:14+00:00,2018-03-23 00:56:30+00:00,0,0.32,0,0,1,3,2,0,2,2
d3/d3,107618,1161,CLOSED,3272,2018-03-05 20:34:02+00:00,2018-03-05 21:11:55+00:00,0,0.63,0,0,1,3,0,1622,2,0
d3/d3,107618,1161,CLOSED,3259,2018-02-01 22:55:42+00:00,2018-02-01 23:00:27+00:00,0,0.08,0,0,1,1,1,0,2,0
d3/d3,107618,1161,MERGED,3190,2018-01-18 19:42:37+00:00,2018-01-18 19:48:05+00:00,2018-01-18 19:48:05+00:00,0.09,0,0,1,1,1,455,2,1
d3/d3,107618,1161,CLOSED,3172,2018-01-03 07:52:26+00:00,2018-01-03 16:59:32+00:00,0,9.12,0,0,1,1,1,0,3,1
d3/d3,107618,1161,CLOSED,3170,2017-12-31 23:50:16+00:00,2018-01-01 19:10:53+00:00,0,19.34,0,0,1,1,1,74,2,1
kubernetes/kubernetes,106660,78401,CLOSED,124292,2024-04-12 13:18:39+00:00,2024-04-12 13:19:46+00:00,0,0.02,0,0,1041,27128,85133,282,63,8
kubernetes/kubernetes,106660,78401,CLOSED,124291,2024-04-12 13:18:19+00:00,2024-04-12 13:20:29+00:00,0,0.04,0,0,4,9,9,166,2,3
kubernetes/kubernetes,106660,78401,MERGED,124283,2024-04-11 19:13:08+00:00,2024-04-12 07:13:01+00:00,2024-04-12 07:13:01+00:00,12.0,0,1,5,11,11,682,9,14
kubernetes/kubernetes,106660,78401,CLOSED,124261,2024-04-10 15:56:45+00:00,2024-04-10 15:58:14+00:00,0,0.02,0,0,1,13,2,972,2,6
kubernetes/kubernetes,106660,78401,CLOSED,124252,2024-04-10 02:39:38+00:00,2024-04-12 09:13:25+00:00,0,54.56,0,0,2,3,1,282,2,9
kubernetes/kubernetes,106660,78401,CLOSED,124236,2024-04-08 19:53:15+00:00,2024-04-11 20:20:18+00:00,0,72.45,0,0,1,108,0,363,3,8
kubernetes/kubernetes,106660,78401,CLOSED,124212,2024-04-07 07:09:48+00:00,2024-04-09 02:27:47+00:00,0,43.3,0,0,1,26,3,636,3,5
